cycle_id,timestamp_start_ms,timestamp_end_ms,dt_target_ms,loop_latency_ms,jitter_ms,deadline_ms,late_flag,controller_mode,scenario_id,r,y,e,u,sat_flag,rx_seq,tx_seq
1,0.0969,10.4834,20,10.3865,-9.6135,20,0,PI,none yet,30,20.016,9.984,1,0,28,37
2,20.2696,27.6884,20,7.4188,-12.5812,20,0,PI,none yet,30,20.031952,9.968048,1,0,28,37
3,29.1888,44.5915,20,15.4027,-4.5973,20,0,PI,none yet,30,20.047856144,9.952143856,1,0,28,37
4,46.9174,60.8627,20,13.9453,-6.0547,20,0,PI,none yet,30,20.063712575568,9.936287424432,1,0,28,37
5,62.6364,76.8638,20,14.2274,-5.7726,20,0,PI,none yet,30,20.0795214378413,9.92047856215871,1,0,28,37
6,84.0688,101.8922,20,17.8234,-2.17659999999999,20,0,PI,none yet,30,20.0952828735278,9.90471712647223,1,0,28,37
7,103.3849,132.6735,20,29.2886,9.28859999999999,20,1,PI,none yet,30,20.1109970249072,9.88900297509282,1,0,28,37
8,134.2325,149.7101,20,15.4776,-4.5224,20,0,PI,none yet,30,20.1266640338325,9.87333596616754,1,0,28,37
9,151.3745,179.657,20,28.2825,8.28250000000003,20,1,PI,none yet,30,20.142284041731,9.85771595826904,1,0,28,37
10,181.2824,211.0254,20,29.743,9.74299999999997,20,1,PI,none yet,30,20.1578571896058,9.84214281039423,1,0,29,38
11,212.6245,228.0546,20,15.4301,-4.56989999999999,20,0,PI,none yet,30,20.173383618037,9.82661638196305,1,0,29,38
12,229.6159,243.8131,20,14.1972,-5.80280000000002,20,0,PI,none yet,30,20.1888634671828,9.81113653281716,1,0,29,38
13,245.3679,258.6431,20,13.2752,-6.72479999999999,20,0,PI,none yet,30,20.2042968767813,9.7957031232187,1,0,29,38
14,260.55,274.6507,20,14.1007,-5.89929999999998,20,0,PI,none yet,30,20.219683986151,9.78031601384905,1,0,29,38
15,277.2551,291.4046,20,14.1495,-5.85049999999995,20,0,PI,none yet,30,20.2350249341925,9.7649750658075,1,0,29,38
16,293.3823,305.4062,20,12.0239,-7.97609999999997,20,0,PI,none yet,30,20.2503198593899,9.74968014061008,1,0,29,38
17,306.9835,326.5846,20,19.6011,-0.398899999999969,20,0,PI,none yet,30,20.2655688998118,9.73443110018825,1,0,29,38
18,328.3868,335.8865,20,7.49969999999996,-12.5003,20,0,PI,none yet,30,20.2807721931123,9.71922780688768,1,0,29,38
19,349.988,368.3462,20,18.3582,-1.64179999999999,20,0,PI,none yet,30,20.295929876533,9.70407012346702,1,0,29,38
20,369.8334,384.4073,20,14.5739,-5.42609999999996,20,0,PI,none yet,30,20.3110420869034,9.68895791309662,1,0,29,38
21,385.879,399.9913,20,14.1122999999999,-5.88770000000005,20,0,PI,none yet,30,20.3261089606427,9.67389103935733,1,0,29,38
22,401.5265,415.5749,20,14.0484,-5.95159999999998,20,0,PI,none yet,30,20.3411306337607,9.65886936623926,1,0,29,38
23,428.815,446.292,20,17.477,-2.52299999999997,20,0,PI,none yet,30,20.3561072418595,9.64389275814054,1,0,29,38
24,447.8128,461.7906,20,13.9777999999999,-6.02220000000005,20,0,PI,none yet,30,20.3710389201339,9.62896107986612,1,0,29,38
25,463.33,477.2776,20,13.9476,-6.05240000000003,20,0,PI,none yet,30,20.3859258033735,9.61407419662652,1,0,29,38
26,490.7462,508.206,20,17.4598,-2.54019999999997,20,0,PI,none yet,30,20.4007680259634,9.59923197403664,1,0,29,38
27,510.4538,523.4411,20,12.9873000000001,-7.01269999999994,20,0,PI,none yet,30,20.4155657218855,9.58443427811453,1,0,29,38
