cycle_id,timestamp_start_ms,timestamp_end_ms,dt_target_ms,loop_latency_ms,jitter_ms,deadline_ms,late_flag,controller_mode,scenario_id,r,y,e,u,sat_flag,rx_seq,tx_seq,jitter
1,0.6448,31.3405,20,30.6957,0,20,1,PI,none yet,30,20.016,9.984,1,0,28,37,10.6957
2,43.3854,50.4859,20,7.1005,0,20,0,PI,none yet,30,20.031952,9.968048,1,0,28,37,-12.8995
3,58.3394,66.3062,20,7.96679999999999,0,20,0,PI,none yet,30,20.047856144,9.952143856,1,0,28,37,-12.0332
4,72.0415,96.2918,20,24.2503,0,20,1,PI,none yet,30,20.063712575568,9.936287424432,1,0,28,37,4.2503
5,108.0421,132.4764,20,24.4343,0,20,1,PI,none yet,30,20.0795214378413,9.92047856215871,1,0,28,37,4.43429999999998
6,160.9813,188.7921,20,27.8108,0,20,1,PI,none yet,30,20.0952828735278,9.90471712647223,1,0,28,37,7.81079999999997
7,191.806,204.7736,20,12.9676,0,20,0,PI,none yet,30,20.1109970249072,9.88900297509282,1,0,28,37,-7.03240000000002
8,207.6084,219.9319,20,12.3235,0,20,0,PI,none yet,30,20.1266640338325,9.87333596616754,1,0,28,37,-7.67649999999998
9,221.4658,236.065,20,14.5992,0,20,0,PI,none yet,30,20.142284041731,9.85771595826904,1,0,28,37,-5.4008
10,237.7891,265.8856,20,28.0965,0,20,1,PI,none yet,30,20.1578571896058,9.84214281039423,1,0,29,38,8.09650000000002
11,268.5199,298.0348,20,29.5149,0,20,1,PI,none yet,30,20.173383618037,9.82661638196305,1,0,29,38,9.51490000000001
12,300.4659,314.9936,20,14.5276999999999,0,20,0,PI,none yet,30,20.1888634671828,9.81113653281716,1,0,29,38,-5.47230000000008
13,316.5854,330.2326,20,13.6472,0,20,0,PI,none yet,30,20.2042968767813,9.7957031232187,1,0,29,38,-6.3528
14,332.7841,344.8786,20,12.0945,0,20,0,PI,none yet,30,20.219683986151,9.78031601384905,1,0,29,38,-7.90550000000002
15,346.4391,375.2999,20,28.8608,0,20,1,PI,none yet,30,20.2350249341925,9.7649750658075,1,0,29,38,8.86080000000004
16,377.6357,392.8463,20,15.2105999999999,0,20,0,PI,none yet,30,20.2503198593899,9.74968014061008,1,0,29,38,-4.78940000000006
17,394.5009,407.4083,20,12.9074,0,20,0,PI,none yet,30,20.2655688998118,9.73443110018825,1,0,29,38,-7.0926
18,409.5137,436.7844,20,27.2707,0,20,1,PI,none yet,30,20.2807721931123,9.71922780688768,1,0,29,38,7.27070000000003
19,438.3956,NaN,20,NaN,0,20,0,PI,none yet,30,20.279929876533,9.72007012346702,0,0,0,38,0
20,473.1851,NaN,20,NaN,0,20,0,PI,none yet,30,20.2790900869034,9.72090991309662,0,0,29,38,0
21,503.8878,515.9872,20,12.0994000000001,0,20,0,PI,none yet,30,20.2942528166427,9.70574718335732,1,0,29,38,-7.90059999999994
22,517.9086,532.0572,20,14.1485999999999,0,20,0,PI,none yet,30,20.3093700581927,9.69062994180725,1,0,29,38,-5.85140000000013
23,533.6424,543.5799,20,9.9375,0,20,0,PI,none yet,30,20.3244419480182,9.67555805198183,1,0,29,38,-10.0625
24,545.2078,560.6037,20,15.3959,0,20,0,PI,none yet,30,20.3394686221741,9.66053137782589,1,0,29,38,-4.60410000000002
25,562.3168,575.7291,20,13.4123000000001,0,20,0,PI,none yet,30,20.3544502163076,9.64554978369241,1,0,29,38,-6.58769999999993
26,577.3074,591.8608,20,14.5533999999999,0,20,0,PI,none yet,30,20.3693868656587,9.63061313434133,1,0,29,38,-5.4466000000001
27,593.5112,607.4766,20,13.9654,0,20,0,PI,none yet,30,20.3842787050617,9.61572129493831,1,0,29,38,-6.03459999999995
28,609.4407,623.2414,20,13.8007,0,20,0,PI,none yet,30,20.3991258689465,9.60087413105349,1,0,29,38,-6.19929999999999
29,624.8489,641.7458,20,16.8969,0,20,0,PI,none yet,30,20.4139284913397,9.58607150866033,1,0,29,38,-3.10310000000004
30,645.3197,653.9875,20,8.66780000000006,0,20,0,PI,none yet,30,20.4286867058656,9.57131329413435,1,0,29,38,-11.3321999999999
31,655.6065,669.6357,20,14.0291999999999,0,20,0,PI,none yet,30,20.443400645748,9.55659935425195,1,0,29,38,-5.97080000000005
32,671.264,685.9858,20,14.7217999999999,0,20,0,PI,none yet,30,20.4580704438108,9.5419295561892,1,0,29,38,-5.27820000000008
33,687.5686,701.4057,20,13.8371000000001,0,20,0,PI,none yet,30,20.4726962324794,9.52730376752063,1,0,29,38,-6.16289999999992
34,703.0218,717.5349,20,14.5131,0,20,0,PI,none yet,30,20.4872781437819,9.51272185621807,1,0,29,38,-5.48689999999999
35,719.0973,733.3215,20,14.2242,0,20,0,PI,none yet,30,20.5018163093506,9.49818369064941,1,0,29,38,-5.7758
36,735.151,749.1501,20,13.9991000000001,0,20,0,PI,none yet,30,20.5163108604225,9.48368913957746,1,0,29,38,-6.00089999999989
37,751.1218,762.8065,20,11.6847000000001,0,20,0,PI,none yet,30,20.5307619278413,9.46923807215873,1,0,29,38,-8.31529999999987
38,764.7308,782.3275,20,17.5966999999999,0,20,0,PI,none yet,30,20.5451696420577,9.45483035794226,1,0,29,38,-2.40330000000006
39,784.3513,794.3503,20,9.99900000000002,0,20,0,PI,none yet,30,20.5595341331316,9.44046586686843,1,0,29,38,-10.001
40,795.9302,809.4834,20,13.5531999999999,0,20,0,PI,none yet,30,20.5738555307322,9.42614446926783,1,0,29,38,-6.44680000000005
41,811.0932,824.6638,20,13.5706,0,20,0,PI,none yet,30,20.58813396414,9.41186603586002,1,0,29,38,-6.42939999999999
42,826.2483,855.8237,20,29.5753999999998,0,20,1,PI,none yet,30,20.6023695622476,9.39763043775244,1,0,29,38,9.57539999999983
43,858.1637,872.5634,20,14.3997000000001,0,20,0,PI,none yet,30,20.6165624535608,9.38343754643919,1,0,29,38,-5.60029999999995
44,874.1338,888.2314,20,14.0976000000001,0,20,0,PI,none yet,30,20.6307127662001,9.36928723379987,1,0,29,38,-5.90239999999994
