cycle_id,timestamp_start_ms,timestamp_end_ms,dt_target_ms,loop_latency_ms,jitter_ms,deadline_ms,late_flag,controller_mode,scenario_id,r,y,e,u,sat_flag,rx_seq,tx_seq
1,0.191,16.0461,20,15.8551,-4.1449,20,0,PI,none yet,22,20.016,1.984,1,0,28,37
2,38.6926,48.7226,20,10.03,-9.97,20,0,PI,none yet,22,20.031952,1.968048,1,0,28,37
3,50.1525,64.7484,20,14.5959,-5.4041,20,0,PI,none yet,22,20.047856144,1.952143856,1,0,28,37
4,66.2756,76.3843,20,10.1087,-9.8913,20,0,PI,none yet,22,20.063712575568,1.936287424432,1,0,28,37
5,77.8794,105.8769,20,27.9975,7.99749999999999,20,1,PI,none yet,22,20.0795214378413,1.92047856215871,1,0,28,37
6,107.4538,138.0041,20,30.5503,10.5503,20,1,PI,none yet,22,20.0952828735278,1.90471712647223,1,0,28,37
7,139.6733,154.5347,20,14.8614,-5.13860000000003,20,0,PI,none yet,22,20.1109970249072,1.88900297509282,1,0,28,37
8,155.9759,169.2314,20,13.2555,-6.74449999999999,20,0,PI,none yet,22,20.1266640338325,1.87333596616754,1,0,28,37
9,170.7264,185.3694,20,14.643,-5.35700000000003,20,0,PI,none yet,22,20.142284041731,1.85771595826904,1,0,28,37
10,186.8951,200.8908,20,13.9957,-6.0043,20,0,PI,none yet,22,20.1578571896058,1.84214281039423,1,0,29,38
11,202.4212,231.1483,20,28.7271,8.72710000000001,20,1,PI,none yet,22,20.173383618037,1.82661638196305,1,0,29,38
12,232.6863,247.469,20,14.7827,-5.21730000000002,20,0,PI,none yet,22,20.1888634671828,1.81113653281716,1,0,29,38
13,248.9529,263.1248,20,14.1719,-5.82810000000001,20,0,PI,none yet,22,20.2042968767813,1.7957031232187,1,0,29,38
14,264.7331,278.842,20,14.1089,-5.89109999999999,20,0,PI,none yet,22,20.219683986151,1.78031601384905,1,0,29,38
15,280.7753,294.3554,20,13.5801,-6.41990000000004,20,0,PI,none yet,22,20.2350249341925,1.7649750658075,1,0,29,38
16,295.8606,310.0058,20,14.1452,-5.85479999999995,20,0,PI,none yet,22,20.2503198593899,1.74968014061008,1,0,29,38
17,311.5804,340.833,20,29.2526,9.25259999999997,20,1,PI,none yet,22,20.2655688998118,1.73443110018825,1,0,29,38
18,342.8939,357.2835,20,14.3896,-5.61039999999997,20,0,PI,none yet,22,20.2807721931123,1.71922780688768,1,0,29,38
19,358.8636,373.0999,20,14.2363,-5.76370000000003,20,0,PI,none yet,22,20.295929876533,1.70407012346702,1,0,29,38
20,374.6675,388.663,20,13.9955,-6.00450000000001,20,0,PI,none yet,22,20.3110420869034,1.68895791309662,1,0,29,38
21,390.2364,414.3175,20,24.0811,4.08109999999999,20,1,PI,none yet,22,20.3261089606427,1.67389103935733,1,0,29,38
22,415.8287,430.8511,20,15.0224,-4.9776,20,0,PI,none yet,22,20.3411306337607,1.65886936623926,1,0,29,38
23,432.6176,449.6316,20,17.0140000000001,-2.98599999999993,20,0,PI,none yet,22,20.3561072418595,1.64389275814054,1,0,29,38
24,451.1911,480.276,20,29.0848999999999,9.08489999999995,20,1,PI,none yet,22,20.3710389201339,1.62896107986612,1,0,29,38
25,481.8133,496.325,20,14.5117,-5.48830000000004,20,0,PI,none yet,22,20.3859258033735,1.61407419662652,1,0,29,38
26,498.0257,510.2254,20,12.1997,-7.80029999999999,20,0,PI,none yet,22,20.4007680259634,1.59923197403664,1,0,29,38
27,511.8101,540.3681,20,28.558,8.55799999999999,20,1,PI,none yet,22,20.4155657218855,1.58443427811453,1,0,29,38
28,542.0558,556.4993,20,14.4435000000001,-5.55649999999991,20,0,PI,none yet,22,20.4303190247198,1.56968097528019,1,0,29,38
29,558.1115,571.8649,20,13.7534000000001,-6.24659999999994,20,0,PI,none yet,22,20.4450280676457,1.55497193235434,1,0,29,38
30,573.4764,586.605,20,13.1286,-6.87139999999999,20,0,PI,none yet,22,20.4596929834427,1.54030701655728,1,0,29,38
31,588.1858,602.2582,20,14.0724,-5.92759999999998,20,0,PI,none yet,22,20.4743139044924,1.52568609550761,1,0,29,38
32,604.0241,618.3211,20,14.297,-5.70299999999997,20,0,PI,none yet,22,20.4888909627789,1.51110903722109,1,0,29,38
33,620.1173,633.882,20,13.7646999999999,-6.23530000000005,20,0,PI,none yet,22,20.5034242898906,1.49657571010942,1,0,29,38
34,647.5266,664.9114,20,17.3848000000002,-2.61519999999985,20,0,PI,none yet,22,20.5179140170209,1.48208598297909,1,0,29,38
35,666.5298,680.6832,20,14.1534000000001,-5.84659999999985,20,0,PI,none yet,22,20.5323602749698,1.46763972503016,1,0,29,38
36,682.0994,696.1988,20,14.0993999999999,-5.90060000000005,20,0,PI,none yet,22,20.5467631941449,1.45323680585507,1,0,29,38
