cycle_id,timestamp_start_ms,timestamp_end_ms,dt_target_ms,loop_latency_ms,jitter_ms,deadline_ms,late_flag,controller_mode,scenario_id,r,y,e,u,sat_flag,rx_seq,tx_seq
1,1.7429,15.5048,20,13.7619,-6.2381,20,0,PI,none yet,22,20.016,1.984,1,0,28,37
2,24.0402,28.3121,20,4.2719,-15.7281,20,0,PI,none yet,22,20.031952,1.968048,1,0,28,37
3,30.5782,57.1214,20,26.5432,6.5432,20,1,PI,none yet,22,20.047856144,1.952143856,1,0,28,37
4,59.6327,76.4418,20,16.8091,-3.1909,20,0,PI,none yet,22,20.063712575568,1.936287424432,1,0,28,37
5,79.0814,89.8349,20,10.7535,-9.24650000000001,20,0,PI,none yet,22,20.0795214378413,1.92047856215871,1,0,28,37
6,92.3644,107.0831,20,14.7187,-5.2813,20,0,PI,none yet,22,20.0952828735278,1.90471712647223,1,0,28,37
7,109.6107,134.337,20,24.7263,4.72630000000001,20,1,PI,none yet,22,20.1109970249072,1.88900297509282,1,0,28,37
8,136.6625,166.9228,20,30.2603,10.2603,20,1,PI,none yet,22,20.1266640338325,1.87333596616754,1,0,28,37
9,170.0185,185.6501,20,15.6316,-4.36839999999998,20,0,PI,none yet,22,20.142284041731,1.85771595826904,1,0,28,37
10,189.6119,206.2158,20,16.6039,-3.39609999999999,20,0,PI,none yet,22,20.1578571896058,1.84214281039423,1,0,29,38
11,208.823,225.4035,20,16.5805,-3.4195,20,0,PI,none yet,22,20.173383618037,1.82661638196305,1,0,29,38
12,227.6282,246.5718,20,18.9436,-1.0564,20,0,PI,none yet,22,20.1888634671828,1.81113653281716,1,0,29,38
13,248.9127,274.1163,20,25.2036,5.20359999999999,20,1,PI,none yet,22,20.2042968767813,1.7957031232187,1,0,29,38
14,276.5913,306.2226,20,29.6313,9.63130000000001,20,1,PI,none yet,22,20.219683986151,1.78031601384905,1,0,29,38
15,308.6982,334.5624,20,25.8642,5.86419999999998,20,1,PI,none yet,22,20.2350249341925,1.7649750658075,1,0,29,38
16,336.9128,360.3571,20,23.4443,3.4443,20,1,PI,none yet,22,20.2503198593899,1.74968014061008,1,0,29,38
17,362.5637,385.2117,20,22.648,2.64800000000002,20,1,PI,none yet,22,20.2655688998118,1.73443110018825,1,0,29,38
18,387.5346,402.1991,20,14.6645,-5.33550000000002,20,0,PI,none yet,22,20.2807721931123,1.71922780688768,1,0,29,38
19,404.2222,428.1531,20,23.9309,3.93090000000001,20,1,PI,none yet,22,20.295929876533,1.70407012346702,1,0,29,38
20,430.2528,446.9539,20,16.7011000000001,-3.29889999999995,20,0,PI,none yet,22,20.3110420869034,1.68895791309662,1,0,29,38
21,448.7089,461.8475,20,13.1386,-6.8614,20,0,PI,none yet,22,20.3261089606427,1.67389103935733,1,0,29,38
22,463.2241,477.0892,20,13.8651,-6.13490000000002,20,0,PI,none yet,22,20.3411306337607,1.65886936623926,1,0,29,38
23,478.5611,492.1224,20,13.5613,-6.43869999999998,20,0,PI,none yet,22,20.3561072418595,1.64389275814054,1,0,29,38
24,494.3405,507.3849,20,13.0444,-6.9556,20,0,PI,none yet,22,20.3710389201339,1.62896107986612,1,0,29,38
25,508.9448,523.7193,20,14.7745,-5.22550000000001,20,0,PI,none yet,22,20.3859258033735,1.61407419662652,1,0,29,38
26,525.2815,538.0731,20,12.7916,-7.20839999999998,20,0,PI,none yet,22,20.4007680259634,1.59923197403664,1,0,29,38
27,539.5188,553.443,20,13.9242,-6.07579999999996,20,0,PI,none yet,22,20.4155657218855,1.58443427811453,1,0,29,38
28,555.2116,567.8837,20,12.6721,-7.3279,20,0,PI,none yet,22,20.4303190247198,1.56968097528019,1,0,29,38
29,569.4027,584.2573,20,14.8545999999999,-5.14540000000011,20,0,PI,none yet,22,20.4450280676457,1.55497193235434,1,0,29,38
30,585.6424,598.9436,20,13.3012000000001,-6.69879999999989,20,0,PI,none yet,22,20.4596929834427,1.54030701655728,1,0,29,38
31,600.3254,614.8497,20,14.5243,-5.47569999999996,20,0,PI,none yet,22,20.4743139044924,1.52568609550761,1,0,29,38
32,616.2712,631.0422,20,14.771,-5.22900000000004,20,0,PI,none yet,22,20.4888909627789,1.51110903722109,1,0,29,38
33,632.572,646.7231,20,14.1511,-5.84889999999996,20,0,PI,none yet,22,20.5034242898906,1.49657571010942,1,0,29,38
34,648.2059,661.9361,20,13.7302,-6.26980000000003,20,0,PI,none yet,22,20.5179140170209,1.48208598297909,1,0,29,38
35,663.3729,677.162,20,13.7891,-6.21090000000004,20,0,PI,none yet,22,20.5323602749698,1.46763972503016,1,0,29,38
36,690.169,721.7567,20,31.5877,11.5877,20,1,PI,none yet,22,20.5467631941449,1.45323680585507,1,0,29,38
37,723.5586,738.9141,20,15.3554999999999,-4.64450000000011,20,0,PI,none yet,22,20.5611229045625,1.4388770954375,1,0,29,38
38,740.4496,754.6305,20,14.1809,-5.81910000000005,20,0,PI,none yet,22,20.5754395358488,1.42456046415119,1,0,29,38
39,756.1457,784.9534,20,28.8077,8.80769999999995,20,1,PI,none yet,22,20.5897132172413,1.41028678275874,1,0,29,38
40,786.4411,800.8518,20,14.4107,-5.58929999999998,20,0,PI,none yet,22,20.6039440775895,1.39605592241046,1,0,29,38
41,802.366,816.0796,20,13.7136,-6.28639999999996,20,0,PI,none yet,22,20.6181322453568,1.38186775464323,1,0,29,38
42,817.6185,830.8657,20,13.2472,-6.75279999999998,20,0,PI,none yet,22,20.6322778486207,1.3677221513793,1,0,29,38
